input,output
"[[{'role': 'user', 'content': 'Hi, Find something interesting for me to do in Sacramento ?'}]]","[{'Events_3_FindEvents': {'event_type': ['Music', 'Theater'], 'city': ['Sacramento, CA'], 'date': ['', 'any']}}]"
"[[{'role': 'user', 'content': 'Calculate the slope gradient in degree between two points on a landscape with coordinates (40.7128, -74.0060) and (34.0522, -118.2437).'}]]","[{'calculate_slope_gradient': {'point1': [[40.7128, -74.006]], 'point2': [[34.0522, -118.2437]], 'unit': ['degree', '']}}]"
"[[{'role': 'user', 'content': ""I need to catch a cab, but the information I'm getting is a bit sketchy right now. So far, the address where I need to go is 3236 Grand Avenue, Oakland and the most comfortable mode of travel would be appreciated. Can you start working through this with me?""}]]","[{'RideSharing_2_GetRide': {'destination': ['3236 Grand Avenue, Oakland'], 'number_of_seats': [''], 'ride_type': ['Luxury']}}]"
"[[{'role': 'user', 'content': ""I'm looking for a house to buy in Seattle, WA with 3 bedrooms and 2 bathrooms. Can you ""}]]","[{'Homes_2_FindHomeByArea': {'area': ['Seattle, WA'], 'intent': ['buy'], 'number_of_beds': [3], 'number_of_baths': [2], 'has_garage': ['', False], 'in_unit_laundry': ['', False]}}]"
"[[{'role': 'user', 'content': 'Calculate the distance between two GPS coordinates (33.4484 N, 112.0740 W) and (34.0522 N, 118.2437 W) in miles.'}]]","[{'calculate_distance': {'coord1': [[33.4484, -112.074]], 'coord2': [[34.0522, -118.2437]], 'unit': ['miles']}}]"
"[[{'role': 'user', 'content': 'Get the dashboard for ""dashing"".'}]]","[{'CustomDashboardsApi.get_custom_dashboards': {'query': ['dashing'], 'pageSize': ['', 10], 'page': ['', 1]}}]"
"[[{'role': 'user', 'content': ""I'm looking to book a train journey from Portland, OR to Seattle, WA on April 22nd. Can we find the available trains for that day?""}]]","[{'Trains_1_FindTrains': {'_from': ['Portland, OR'], 'to': ['Seattle, WA'], 'date_of_journey': ['04/22/2023']}}]"
"[[{'role': 'user', 'content': ""Help me create a mapping that assigns each of the first 4 elements from a given array to the category 'transition' for use in CSS transitions?""}]]","[{'mapTransitions': {'category': ['transition'], 'limit': [4.0]}}]"
"[{'role': 'user', 'content': ""Can you add a new record to the database table named 'Students' with the columns 'StudentID', 'FirstName', 'LastName', 'Age', and 'Grade' where the values to be inserted are 'S101', 'John', 'Doe', '15', and '10'?""}]","[{'sql.execute': {'sql_keyword': ['INSERT'], 'table_name': ['Students'], 'columns': [['StudentID', 'FirstName', 'LastName', 'Age', 'Grade']], 'insert_values': [['S101', 'John', 'Doe', 15, 10]]}}]"
"[[{'role': 'user', 'content': 'Ändere columnCount zu 12'}]]","[{'set_integer': {'name': ['columnCount'], 'value': [12]}}]"
"[[{'role': 'user', 'content': ""What was Albert Einstein's contribution to science on March 17, 1915?""}]]","[{'historical_contrib.get_contrib': {'scientist': ['Albert Einstein'], 'date': ['1915-03-17', '03/17/1915', 'Mar.17,1915'], 'category': ['', 'all']}}]"
"[[{'role': 'user', 'content': 'I want to find 5 restaurants nearby my location, Manhattan, offering Thai food and a vegan menu.'}]]","[{'find_restaurants': {'location': ['Manhattan, New York City', 'Manhattan', 'Manhattan, New York', 'Manhattan, NY', 'Manhattan, NYC'], 'food_type': ['Thai'], 'number': [5], 'dietary_requirements': [['vegan'], ['Vegan']]}}]"
"[[{'role': 'user', 'content': ""I'd like to know how to retrieve a weather forecast for New York City on the 4th of July this year.""}]]","[{'api_name.get_weather_forecast': {'location': ['New York City, NY'], 'date': ['2023-07-04'], 'temperature_unit': ['', 'Fahrenheit'], 'include_humidity': ['', True], 'include_condition': ['', True]}}]"
"[{'role': 'user', 'content': ""Can you provide the names and atomic_masses of all elements in the 'ChemicalElements' database where the number of protons is greater than 50?""}]","[{'sql.execute': {'sql_keyword': ['SELECT'], 'table_name': ['ChemicalElements'], 'columns': [['name', 'atomic_masses']], 'conditions': [['number_of_protons > 50']]}}]"
"[[{'role': 'user', 'content': 'what is the live carbon intensity in Great Britain?'}]]","[{'get_latest_carbon_intensity': {'zone': ['Great Britain', 'GB']}}]"
"[[{'role': 'user', 'content': ""What's the price of Amazon stock for the last 3 days?""}]]","[{'stock_price': {'company': ['Amazon', 'AMZN'], 'days': [3], 'data_type': ['Close', '']}}]"
"[[{'role': 'user', 'content': 'Hi, Find Theater events in Los Angeles on the 4th of march 2023, march 2023 is march 2023?'}]]","[{'Events_3_FindEvents': {'event_type': ['Theater'], 'city': ['Los Angeles'], 'date': ['2023-03-04']}}]"
"[[{'role': 'user', 'content': 'When will size 40 be ready with id 12345-67890?'}]]","[{'inventory_management': {'product_id': ['12345-67890'], 'sizes': [['40']], 'color': ['', 'any'], 'quantity': ['', 1]}}]"
"[[{'role': 'user', 'content': 'Search for a property to rent in Mountain View california with at least 2 bedrooms, 1 bathroom, and must have in-unit laundry facilities?'}]]","[{'Homes_2_FindHomeByArea': {'area': ['Mountain View, CA'], 'intent': ['rent'], 'number_of_beds': [2], 'number_of_baths': [1], 'has_garage': ['', False], 'in_unit_laundry': [True]}}]"
"[[{'role': 'user', 'content': ""What are the statistics of Ronaldo's matches in 2021?""}]]","[{'player_statistic': {'player_name': ['Ronaldo', 'Cristiano Ronaldo'], 'year': [2021], 'team_name': ['']}}]"
"[[{'role': 'user', 'content': 'Are there songs like Reggae by Vybz Kartel of 2019?'}]]","[{'Music_3_LookupMusic': {'artist': ['Vybz Kartel'], 'album': ['', 'dontcare'], 'genre': ['Reggae'], 'year': [2019]}}]"
"[[{'role': 'user', 'content': 'I would like to find a funny movie featuring Ana de Armas.'}]]","[{'Media_3_FindMovies': {'genre': ['Comedy'], 'starring': ['Ana de Armas']}}]"
"[[{'role': 'user', 'content': ""Find a book 'The Alchemist' in the library branches within New York city.""}]]","[{'library.search_book': {'book_name': ['The Alchemist'], 'city': ['New York', 'New York, NY', 'New York City', 'NYC', 'NY'], 'availability': ['', False], 'genre': ['']}}]"
"[[{'role': 'user', 'content': ""I want to listen to 'With You' by AP Dillon. Could you set the volume to 50?""}]]",[{'set_volume': {'volume': [50]}}]
"[[{'role': 'user', 'content': '""Get the sensor readings max entries per pages for the metric current from today to 15:30 to 15:32 on my organization. Today is March 10 of 2024'}]]","[{'get_sensor_readings_history': {'perPage': [100], 'startingAfter': ['', None], 'endingBefore': ['', None], 'networkIds': ['', []], 'serials': ['', []], 'metrics': [['current']], 'timespan': [120], 't0': ['2024-03-10T15:30:00Z'], 't1': ['2024-03-10T15:32:00Z']}}]"
"[[{'role': 'user', 'content': ""I'd like to set a new alarm for 15:30 with the label Cleaning.""}]]","[{'Alarm_1_AddAlarm': {'new_alarm_time': ['15:30'], 'new_alarm_name': ['Cleaning']}}]"
"[{'role': 'user', 'content': 'Can you establish a new database table called ""ParticleData"" with the columns ""ParticleID"", ""ParticleName"", ""DiscoveredBy"", ""YearDiscovered"", ""Charge"", ""Spin"", ""Mass"" to record the properties of elementary particles discovered in particle physics?'}]","[{'sql.execute': {'sql_keyword': ['CREATE'], 'table_name': ['ParticleData'], 'columns': [['ParticleID', 'ParticleName', 'DiscoveredBy', 'YearDiscovered', 'Charge', 'Spin', 'Mass']]}}]"
"[[{'role': 'user', 'content': 'Book a hotel room at the Plaza Hotel in New York for 3 nights starting from 1st June 2022'}]]","[{'hotel_booking': {'hotel_name': ['Plaza Hotel'], 'location': ['New York City, NY', 'New York, NY'], 'start_date': ['2022-06-01', '06/01/2022', 'Jun.1,2022'], 'end_date': ['2022-06-04', '06/04/2022', 'Jun.4,2022'], 'rooms': [1, '']}}]"
"[[{'role': 'user', 'content': ""What's the weather forecast for Palo Alto for today April 25th 2023?""}]]","[{'Weather_1_GetWeather': {'city': ['Palo Alto'], 'date': ['2023-04-25']}}]"
"[[{'role': 'user', 'content': 'Generate a DNA sequence with 100 bases including more G (Guanine) and C (Cytosine).'}]]","[{'generate_DNA_sequence': {'length': [100], 'preferences': [['G', 'C'], ['C', 'G']]}}]"
"[[{'role': 'user', 'content': 'Could you locate any theater events in New York on the 12th of March?'}]]","[{'Events_3_FindEvents': {'event_type': ['Theater'], 'city': ['New York, NY'], 'date': ['2023-03-12']}}]"
"[[{'role': 'user', 'content': 'weather today in Boston in fahrenheit?'}]]","[{'get_current_weather': {'location': ['Boston, MA'], 'unit': ['', 'fahrenheit']}}]"
"[[{'role': 'user', 'content': 'fetch all sips of Aditya'}]]",[{'partner.sips': {'status': ['active']}}]
"[[{'role': 'user', 'content': ""Help me execute the 'runIt' method to process command-line arguments for a debug session, and log the output to a specific PrintStream, using the arguments array ['suspend', 'log'] and a PrintStream variable named 'debugLog'?""}]]","[{'invokemethod007.runIt': {'args': [['suspend', 'log']], 'out': ['debugLog']}}]"
"[[{'role': 'user', 'content': ""I'm in the mood for some Electropop music from around 2014. Find some please""}]]","[{'Music_3_LookupMusic': {'artist': ['', 'dontcare'], 'album': ['', 'dontcare'], 'genre': ['Electropop'], 'year': ['2014']}}]"
"[[{'role': 'user', 'content': 'Search for a one-way Economy class flight leaving from Chicago to Shanghai with Delta Airlines? Departing on the 15th of April 2023.'}]]","[{'Flights_4_SearchOnewayFlight': {'origin_airport': ['Chicago'], 'destination_airport': ['Shanghai'], 'departure_date': ['2023-04-15'], 'seating_class': ['', 'Economy'], 'number_of_tickets': ['', 1], 'airlines': ['Delta Airlines']}}]"
"[[{'role': 'user', 'content': 'Can you lower the audio playback to 30% volume?'}]]",[{'set_volume': {'volume': [30]}}]
"[[{'role': 'user', 'content': 'Can you show me the projects that Adriel is currently working on and also include the completed ones? id 1234'}]]","[{'list_projects': {'user_id': ['1234'], 'include_completed': [True], 'sort_order': ['', 'asc']}}]"
"[[{'role': 'user', 'content': ""Find a music event in Portland that's happening sometime?""}]]","[{'Events_3_FindEvents': {'event_type': ['Music'], 'city': ['Portland, OR'], 'date': ['', 'dontcare']}}]"
"[[{'role': 'user', 'content': 'Calculate the velocity of a car that travels a distance of 50 kilometers for a duration of 2 hours?'}]]","[{'calculate_velocity': {'distance': [50], 'duration': [2], 'unit': ['', 'km/h']}}]"
"[[{'role': 'user', 'content': 'delete todo with content - go to gym'}]]","[{'todo_manager.handle_action': {'type': ['delete'], 'content': ['go to gym']}}]"
"[[{'role': 'user', 'content': ""I want to listen to music. Rumor says that 'Narrated For You' by 'Alec Benjamin' is awesome. I really like to listen to 'POP' songs.""}]]","[{'Music_3_PlayMedia': {'track': ['Narrated For You'], 'artist': ['Alec Benjamin'], 'device': ['', 'Living room'], 'album': ['', 'Narrated For You', 'any']}}]"
"[[{'role': 'user', 'content': 'Find the statistical significance between two set of variables, dataset_A with the values 12, 24, 36 and dataset_B with the values 15, 30, 45.'}]]","[{'t_test': {'dataset_A': [[12, 24, 36]], 'dataset_B': [[15, 30, 45]], 'alpha': ['', 0.05]}}]"
"[[{'role': 'user', 'content': ""Help me track the 'submitForm' action on a 'formHandler' object but only when the form has is required and is valid email validation flags set?""}]]","[{'trackSubmitWithValidation': {'obj': ['formHandler'], 'validationFlags': [['isRequired', 'isValidEmail']]}}]"
"[[{'role': 'user', 'content': ""I'm travelling for work on business and need to find train tickets from Sacramento to Fresno on the 10th of March 2023.""}]]","[{'Trains_1_FindTrains': {'_from': ['Sacramento, CA'], 'to': ['Fresno, CA'], 'date_of_journey': ['2023-03-10']}}]"
"[[{'role': 'user', 'content': ""What are the coordinates of the neuron in a rat's all part of the brain that produces GABA neurotransmitters?""}]]","[{'get_neuron_coordinates': {'neuron_type': ['GABA'], 'brain_region': ['All', 'all part of the brain', 'entire brain']}}]"
"[[{'role': 'user', 'content': ""Help me obtain a reactive queue with the name 'taskQueue' using a custom serialization codec `jsonCodec` in a reactive programming model with Redisson?""}]]","[{'RedissonRx.getQueue': {'name': ['taskQueue'], 'codec': ['jsonCodec']}}]"
"[[{'role': 'user', 'content': 'Could you help me buy 2 tickets for the Anthony Green concert at Seattle happening on the 10th of march 2023?'}]]","[{'Events_3_BuyEventTickets': {'event_name': ['Anthony Green'], 'number_of_tickets': [2], 'date': ['2023-03-10'], 'city': ['Seattle, WA']}}]"
"[[{'role': 'user', 'content': 'Who was the full name of the president of the United States in 1861?'}]]","[{'US_president.in_year': {'year': [1861], 'full_name': [True, '']}}]"
"[[{'role': 'user', 'content': ""Establish a connection to the server with the nickname 'SQL01' exactly 60 seconds?""}]]","[{'connect_to_server': {'nickname': ['SQL01'], 'timeout': [60], 'retry_attempts': ['', 3], 'use_ssl': ['', True]}}]"
"[[{'role': 'user', 'content': 'Hey, I feel like listening to some tunes right now. Can you find me something from 2021?'}]]","[{'Music_3_LookupMusic': {'artist': ['', 'dontcare'], 'album': ['', 'dontcare'], 'genre': ['', 'dontcare'], 'year': ['2021']}}]"
"[[{'role': 'user', 'content': 'Give me the event with ID efJG9'}]]","[{'EventSettingsApi.get_event_specification_infos_by_ids': {'event_ids': [['efJG9']], 'include_details': [True]}}]"
"[[{'role': 'system', 'content': 'The Requirement Extractor is designed to interpret and process multiple user queries in a single input, especially in the context of inventory management and product information.'}, {'role': 'user', 'content': 'Saya melihat bahwa produk dengan ID XY123 masih memiliki stok ukuran M. Saya ingin menukarkan ukuran yang saya miliki dengan ukuran M. Saya akan menanggung ongkos pengiriman dan pengemasannya. Tolong konfirmasi jika ini bisa dilakukan. Terima kasih sebelumnya.'}]]","[{'inventory_management': {'product_id': ['XY123'], 'sizes': [['M']], 'color': ['', 'Any']}}]"
"[[{'role': 'user', 'content': 'What is the final velocity for an object in free fall after 5 seconds, given the gravity g and initial velocity 0?'}]]","[{'calculateFinalVelocity': {'time': [5.0], 'gravity': [9.81], 'initialVelocity': [0.0]}}]"
"[[{'role': 'user', 'content': ""Can you set a new alarm for 07:30 in the morning and label it 'Morning workout'?""}]]","[{'Alarm_1_AddAlarm': {'new_alarm_time': ['07:30'], 'new_alarm_name': ['Morning workout']}}]"
"[[{'role': 'user', 'content': 'What is the area of a rectangle with length 12 meters and width 5 meters?'}]]","[{'rectangle.area': {'length': [12], 'width': [5]}}]"
"[[{'role': 'user', 'content': 'I want to see a movie with Zoe Margaret Colletti in it.'}]]","[{'Movies_3_FindMovies': {'directed_by': ['', 'dontcare'], 'genre': ['', 'dontcare'], 'cast': ['Zoe Margaret Colletti']}}]"
"[[{'role': 'user', 'content': ""Find details about lawsuit case numbered 'LAX2019080202' in the Los Angeles court.""}]]","[{'get_lawsuit_details': {'case_number': ['LAX2019080202'], 'court_location': ['Los Angeles'], 'additional_details': ['', ['attorneys', 'plaintiffs', 'defendants', 'charges', 'court_updates']]}}]"
"[[{'role': 'user', 'content': 'I have a little time free and I am thinking to watch a movie online to spend that time. Can you find me a nice movie especially the one featuring Madge Brindley?'}]]","[{'Media_3_FindMovies': {'genre': ['Any'], 'starring': ['Madge Brindley']}}]"
"[[{'role': 'user', 'content': 'Can you find me movies in the Anime genre that are directed by Satoshi Kon and feature Akiko Kawase in the cast?'}]]","[{'Movies_3_FindMovies': {'directed_by': ['Satoshi Kon'], 'genre': ['Anime'], 'cast': ['Akiko Kawase']}}]"
"[[{'role': 'user', 'content': 'Calculate the volume of a cone with radius 4 and height 7.'}]]","[{'geometry.calculate_cone_volume': {'radius': [4], 'height': [7], 'round_off': ['', 0]}}]"
"[[{'role': 'user', 'content': 'Hi, I think I need some help. Can you get me the best SF Psychologist please?'}]]","[{'Services_4_FindProvider': {'city': ['San Francisco, CA'], 'type': ['Psychologist']}}]"
"[[{'role': 'user', 'content': 'Could you search for Pop songs by Harris J, and check if there are any from the Salam album?'}]]","[{'Music_3_LookupMusic': {'artist': ['Harris J'], 'album': ['Salam'], 'genre': ['Pop'], 'year': ['', 'dontcare']}}]"
"[[{'role': 'user', 'content': 'I want to check the weather condition in Fremont on March 1st 2023. '}]]","[{'Weather_1_GetWeather': {'city': ['Fremont'], 'date': ['2023-03-01']}}]"
"[[{'role': 'user', 'content': ""What is the year over year growth rate for company 'Tech Inc' with revenues of $1M in 2019 and $1.2M in 2020?""}]]","[{'corporate_finance.calculate_YOY_growth_rate': {'company_name': ['Tech Inc'], 'year1': [2019], 'year1_revenue': [1000000], 'year2': [2020], 'year2_revenue': [1200000]}}]"
"[[{'role': 'user', 'content': 'Can you provide me with the latitude and longitude of Seattle, that city where Mr. Gates works in?'}]]",[{'get_coordinates_from_city': {'city_name': ['Seattle']}}]
"[[{'role': 'user', 'content': ""I'm at home alone and it is awfully quiet, so it's the perfect time to sit back and watch a movie. Can you find me a movie with Michaela Watkins starring in it and preferably directed by Paul Downs Colaizzo?""}]]","[{'Movies_3_FindMovies': {'directed_by': ['Paul Downs Colaizzo'], 'genre': ['', 'dontcare'], 'cast': ['Michaela Watkins']}}]"
"[[{'role': 'user', 'content': ""Could you help me combine the names 'John' and 'Doe' into a full name?""}]]","[{'concat_strings': {'strings': [['John', 'Doe']], 'separator': [' ']}}]"
"[[{'role': 'user', 'content': 'Find a documentary movie for me to watch in a regular format at theaters in Los Angeles?'}]]","[{'Movies_1_FindMovies': {'location': ['Los Angeles, CA'], 'theater_name': ['', 'dontcare'], 'genre': ['Documentary'], 'show_type': ['regular']}}]"
"[[{'role': 'user', 'content': 'Find the conversion rate from Euro to Dollar at January 1, 2022'}]]","[{'currency_conversion.get_rate': {'from_currency': ['EUR', 'Euro'], 'to_currency': ['Dollar', 'USD'], 'date': ['2022-01-01', '01/01/2022', '1/1/2022', 'Jan.1,2022', 'January 1, 2022', '2022-1-1']}}]"
"[[{'role': 'user', 'content': 'Can you provide the weather information for Ciudad de Mexico on May 5th, 2023?'}]]","[{'Weather_1_GetWeather': {'city': ['Ciudad de Mexico, CDMX', 'Ciudad de Mexico, Mexico'], 'date': ['2023-05-05']}}]"
"[[{'role': 'user', 'content': 'what is the specs ACHD of type MPN. I want to see images.'}]]","[{'raptor.mpn.specs': {'identifier': ['ACHD'], 'search_type': ['', 'MPN'], 'include_images': [True]}}]"
"[{'role': 'user', 'content': 'What are the names and salaries of employees in the ""Employees"" table who have a salary greater than $5000?'}]","[{'sql.execute': {'sql_keyword': ['SELECT'], 'table_name': ['Employees'], 'columns': [['name', 'salaries']], 'conditions': [['salaries > 5000']]}}]"
"[[{'role': 'user', 'content': 'What is the wind speed and temperature in location given by coordinates 46.603354,1.8883340 on December 13, 2019?'}]]","[{'weather.get_by_coordinates_date': {'coordinates': [[46.603354, 1.888334]], 'date': ['2019-12-13']}}]"
"[[{'role': 'user', 'content': 'I am in a nice mood and I like to listen to some nice songs. Can you search for something best for me? Can you find me some Electropop tracks from 2018?'}]]","[{'Music_3_LookupMusic': {'artist': ['', 'dontcare'], 'album': ['', 'dontcare'], 'genre': ['Electropop'], 'year': [2018]}}]"
"[[{'role': 'user', 'content': 'Rename website ""Frank"" to ""Bob"". Web ID is 1234'}]]","[{'website_configuration_api.WebsiteConfigurationApi.rename_website': {'websiteId': ['1234'], 'name': ['Bob']}}]"
"[[{'role': 'user', 'content': ""I'm trying to find a movie to watch, something with Peter Strickland as the director that stars Gavin Brocker. I'd like a movie about scary ghosts.""}]]","[{'Movies_3_FindMovies': {'directed_by': ['Peter Strickland'], 'genre': ['Horror'], 'cast': ['Gavin Brocker']}}]"
"[{'role': 'user', 'content': 'Can you create a database table named ""PhysicsExperiments"" with columns ""ExperimentID"", ""ExperimentName"", ""Researcher"", ""DateConducted"", ""Result"" to store the details of physics experiments conducted in our lab?'}]","[{'sql.execute': {'sql_keyword': ['CREATE'], 'table_name': ['PhysicsExperiments'], 'columns': [['ExperimentID', 'ExperimentName', 'Researcher', 'DateConducted', 'Result']]}}]"
"[[{'role': 'user', 'content': 'Get the biography and main contributions of Pope Innocent III.'}]]","[{'religious_history.get_papal_biography': {'papal_name': ['Innocent III', 'Pope Innocent III'], 'include_contributions': [True]}}]"
"[[{'role': 'user', 'content': 'Perform a hypothesis test for two independent samples with scores of Sample1: [22,33,42,12,34] and Sample2: [23,45,44,14,38] at a significance level of 0.05.'}]]","[{'hypothesis_testing.ttest_ind': {'sample1': [[22, 33, 42, 12, 34]], 'sample2': [[23, 45, 44, 14, 38]], 'significance_level': [0.05]}}]"
"[[{'role': 'user', 'content': 'Provide me the official crime rate of violent crime in San Francisco in 2020.'}]]","[{'get_crime_rate': {'city': ['San Francisco'], 'state': ['California', 'CA'], 'type': ['violent', ''], 'year': [2020]}}]"
